iter	Passed	Remaining
402	10727	15891
403	10745	15852
404	10766	15817
405	10791	15789
406	10812	15753
407	10840	15729
408	10874	15713
409	10905	15693
410	10933	15668
411	10959	15641
412	10980	15606
413	11001	15572
414	11024	15539
415	11045	15505
416	11071	15479
417	11095	15449
418	11130	15433
419	11168	15423
420	11190	15389
421	11211	15355
422	11231	15320
423	11253	15287
424	11284	15267
425	11314	15245
426	11340	15217
427	11368	15194
428	11392	15163
429	11412	15128
430	11436	15098
431	11457	15064
432	11487	15042
433	11519	15023
434	11548	14999
435	11572	14969
436	11598	14942
437	11618	14908
438	11638	14873
439	11661	14841
440	11689	14817
441	11716	14792
442	11739	14760
443	11772	14742
444	11798	14714
445	11828	14692
446	11849	14659
447	11870	14626
448	11900	14603
449	11944	14598
450	11972	14573
451	11995	14543
452	12018	14511
453	12040	14480
454	12061	14447
455	12089	14422
456	12116	14396
457	12144	14372
458	12169	14343
459	12196	14317
460	12218	14285
461	12238	14252
462	12261	14221
463	12284	14190
464	12308	14161
465	12341	14142
466	12375	14124
467	12400	14096
468	12426	14069
469	12448	14037
470	12476	14012
471	12506	13990
472	12534	13965
473	12558	13935
474	12592	13917
475	12623	13896
476	12649	13869
477	12671	13838
478	12692	13805
479	12712	13772
480	12734	13740
481	12767	13721
482	12798	13699
483	12826	13674
484	12855	13650
485	12878	13620
486	12899	13587
487	12921	13556
488	12948	13530
489	12971	13500
490	13004	13481
491	13032	13456
492	13059	13429
493	13084	13402
494	13108	13372
495	13135	13347
496	13162	13321
497	13194	13300
498	13217	13270
499	13247	13247
500	13274	13221
501	13295	13189
502	13317	13158
503	13340	13128
504	13361	13097
505	13390	13072
506	13422	13052
507	13452	13028
508	13478	13001
509	13504	12974
510	13523	12941
511	13542	12907
512	13563	12876
513	13595	12855
514	13623	12829
515	13653	12807
516	13678	12779
517	13702	12749
518	13723	12718
519	13749	12691
520	13769	12659
521	13807	12643
522	13839	12622
523	13866	12596
524	13892	12568
525	13917	12541
526	13938	12510
527	13959	12478
528	13984	12451
529	14013	12426
530	14039	12399
531	14067	12374
532	14090	12345
533	14115	12318
534	14136	12287
535	14160	12258
536	14182	12227
537	14206	12199
538	14235	12175
539	14268	12154
540	14297	12130
541	14324	12104
542	14344	12072
543	14364	12040
544	14384	12009
545	14415	11986
546	14451	11968
547	14482	11945
548	14511	11921
549	14530	11888
550	14555	11861
551	14576	11829
552	14595	11797
553	14617	11767
554	14646	11743
555	14674	11718
556	14696	11688
557	14729	11667
558	14755	11641
559	14777	11610
560	14801	11582
561	14822	11552
562	14853	11529
563	14877	11501
564	14909	11478
565	14937	11453
566	14959	11423
567	14983	11395
568	15003	11364
569	15023	11333
570	15058	11313
571	15090	11291
572	15122	11269
573	15150	11244
574	15171	11213
575	15198	11187
576	15222	11159
577	15244	11129
578	15273	11105
579	15302	11081
580	15332	11057
581	15355	11028
582	15384	11004
583	15405	10973
584	15427	10944
585	15448	10914
586	15470	10884
587	15500	10860
588	15532	10838
589	15566	10817
590	15598	10794
591	15620	10765
592	15643	10736
593	15664	10706
594	15682	10674
595	15707	10647
596	15734	10621
597	15761	10595
598	15793	10572
599	15816	10544
600	15839	10515
601	15860	10485
602	15882	10456
603	15904	10427
604	15939	10406
605	15973	10385
606	16004	10361
607	16026	10333
608	16052	10306
609	16073	10276
610	16093	10245
611	16113	10215
612	16137	10187
613	16160	10159
614	16188	10134
615	16225	10114
616	16253	10089
617	16275	10060
618	16298	10032
619	16319	10002
620	16338	9971
621	16359	9941
622	16388	9917
623	16417	9892
624	16442	9865
625	16472	9841
626	16497	9814
627	16517	9784
628	16542	9756
629	16564	9728
630	16598	9706
631	16629	9682
632	16657	9657
633	16680	9629
634	16703	9601
635	16725	9572
636	16745	9542
637	16766	9513
638	16795	9488
639	16824	9463
640	16848	9436
641	16878	9411
642	16899	9382
643	16921	9353
644	16942	9324
645	16963	9295
646	16983	9266
647	17010	9240
648	17044	9218
649	17075	9194
650	17098	9166
651	17123	9139
652	17143	9110
653	17163	9080
654	17188	9053
655	17222	9031
656	17252	9006
657	17281	8981
658	17308	8956
659	17328	8926
660	17352	8899
661	17373	8870
662	17393	8841
663	17421	8815
664	17452	8791
665	17478	8765
666	17504	8739
667	17529	8712
668	17551	8684
669	17573	8655
670	17596	8628
671	17625	8602
672	17652	8576
673	17683	8553
674	17706	8525
675	17733	8499
676	17753	8470
677	17776	8442
678	17797	8413
679	17823	8387
680	17853	8363
681	17895	8344
682	17925	8319
683	17956	8295
684	17979	8268
685	18001	8239
686	18021	8210
687	18045	8183
688	18068	8155
689	18101	8132
690	18131	8108
691	18159	8082
692	18180	8053
693	18198	8024
694	18220	7996
695	18243	7968
696	18266	7940
697	18297	7916
698	18332	7894
699	18360	7868
700	18391	7844
701	18412	7816
702	18432	7787
703	18454	7759
704	18480	7732
705	18510	7708
706	18537	7682
707	18569	7658
708	18595	7632
709	18626	7608
710	18648	7579
711	18668	7551
712	18687	7522
713	18720	7498
714	18748	7473
715	18771	7445
716	18798	7419
717	18819	7391
718	18839	7362
719	18859	7334
720	18884	7307
721	18910	7281
722	18935	7254
723	18967	7230
724	18992	7204
725	19014	7176
726	19035	7148
727	19056	7120
728	19078	7092
729	19101	7064
730	19131	7040
731	19163	7016
732	19189	6990
733	19216	6964
734	19237	6935
735	19263	6909
736	19284	6881
737	19307	6854
738	19333	6828
739	19365	6804
740	19395	6779
741	19422	6753
742	19442	6725
743	19465	6697
744	19487	6670
745	19506	6641
746	19530	6614
747	19559	6589
748	19593	6565
749	19623	6541
750	19645	6513
751	19665	6485
752	19686	6457
753	19708	6429
754	19728	6401
755	19752	6375
756	19774	6347
757	19806	6323
758	19836	6298
759	19860	6271
760	19886	6245
761	19906	6217
762	19926	6189
763	19955	6164
764	19984	6138
765	20009	6112
766	20048	6090
767	20074	6064
768	20093	6036
769	20116	6008
770	20137	5981
771	20156	5952
772	20189	5928
773	20227	5906
774	20254	5880
775	20283	5855
776	20305	5827
777	20327	5800
778	20348	5772
779	20368	5745
780	20391	5717
781	20416	5691
782	20450	5667
783	20483	5643
784	20511	5617
785	20533	5590
786	20556	5563
787	20582	5537
788	20603	5509
789	20632	5484
790	20665	5460
791	20696	5435
792	20726	5410
793	20746	5382
794	20767	5355
795	20791	5328
796	20811	5300
797	20831	5273
798	20862	5248
799	20893	5223
800	20915	5196
801	20948	5171
802	20975	5145
803	20997	5118
804	21022	5092
805	21052	5067
806	21075	5040
807	21106	5015
808	21132	4989
809	21160	4963
810	21184	4936
811	21205	4909
812	21226	4882
813	21247	4854
814	21278	4830
815	21308	4804
816	21342	4780
817	21371	4755
818	21393	4727
819	21415	4700
820	21435	4673
821	21457	4646
822	21481	4620
823	21506	4593
824	21539	4568
825	21573	4544
826	21598	4518
827	21620	4491
828	21640	4463
