iter	Logloss
0	0.6530956728
1	0.6163850922
2	0.5884402957
3	0.557755533
4	0.533100062
5	0.5106076618
6	0.4890738354
7	0.4720810229
8	0.4567383508
9	0.4428367663
10	0.4297069935
11	0.418710513
12	0.4086997378
13	0.4005780752
14	0.3927736013
15	0.3856823747
16	0.381797723
17	0.3761710224
18	0.3715900262
19	0.366948542
20	0.362442161
21	0.3590587358
22	0.3556064672
23	0.352595896
24	0.3499154445
25	0.3468465281
26	0.3450439125
27	0.3431493348
28	0.3407789348
29	0.3389619022
30	0.3371562817
31	0.3354316645
32	0.3342588696
33	0.332578701
34	0.3314441432
35	0.3301540126
36	0.3291205259
37	0.3279222566
38	0.3265446561
39	0.3255130777
40	0.3246500476
41	0.3235600756
42	0.3223236465
43	0.3211970586
44	0.3201655973
45	0.3192270521
46	0.3184031921
47	0.3173998834
48	0.3165110957
49	0.3155449757
50	0.3146685401
51	0.3141761563
52	0.3135319302
53	0.3128335451
54	0.312448525
55	0.311923947
56	0.3113736029
57	0.3109738436
58	0.3104992886
59	0.3101750416
60	0.3096230514
61	0.3091150565
62	0.3085792246
63	0.308118601
64	0.3077107554
65	0.3073159833
66	0.307051602
67	0.3066940299
68	0.3063705172
69	0.3060469269
70	0.3057302649
71	0.3052587753
72	0.3049206226
73	0.3046473395
74	0.3041819882
75	0.3038486234
76	0.3035531879
77	0.3032904499
78	0.3029640207
79	0.3027513122
80	0.3025238135
81	0.3022286409
82	0.302004117
83	0.3018006752
84	0.3016410324
85	0.3012081094
86	0.3008456964
87	0.300102615
88	0.2996922763
89	0.2995017309
90	0.299059114
91	0.2988131906
92	0.2986196059
93	0.2982650196
94	0.2980147099
95	0.2977232983
96	0.2974856419
97	0.2972672584
98	0.2970939348
99	0.2969638359
100	0.2968113408
101	0.2966702326
102	0.2964906788
103	0.2962417388
104	0.2959547024
105	0.2958185133
106	0.2955556592
107	0.2952915318
108	0.2951630553
109	0.2948476981
110	0.2946898854
111	0.2944829424
112	0.2942580112
113	0.2940365863
114	0.2938702943
115	0.2937348059
116	0.2936231053
117	0.2934390488
118	0.293338473
119	0.2932131974
120	0.2929517716
121	0.2927052898
122	0.2925712747
123	0.2923935099
124	0.2922906351
125	0.2921967338
126	0.2920645864
127	0.2919035631
128	0.2917170789
129	0.2915034911
130	0.2913407858
131	0.2910979741
132	0.2908528023
133	0.2907232747
134	0.2905967096
135	0.2904221675
136	0.2903325103
137	0.2901616519
138	0.2900505687
139	0.2897984855
140	0.2896487167
141	0.289596784
142	0.289495762
143	0.2892499059
144	0.2891036147
145	0.2888411092
146	0.2885156899
147	0.2883110935
148	0.2882419929
149	0.2881183613
150	0.2879964594
151	0.2878370497
152	0.2877106981
153	0.2876071343
154	0.2875355606
155	0.2874587947
156	0.2872608087
157	0.2871274421
158	0.2870166975
159	0.2869404985
160	0.2867807403
161	0.2866976955
162	0.2865708898
163	0.2864463346
164	0.2863390907
165	0.286272871
166	0.2861605818
167	0.2860773431
168	0.2859787336
169	0.2858672241
170	0.2857538934
171	0.2856884559
172	0.2855696923
173	0.2855006185
174	0.2854210707
175	0.285194012
176	0.2850847632
177	0.2850041599
178	0.284895602
179	0.2845185406
180	0.2844419328
181	0.2843751428
182	0.2842957419
183	0.284199952
184	0.2841159893
185	0.2840413499
186	0.2839418184
187	0.2837091852
188	0.2836152186
189	0.2834159017
190	0.2831009446
191	0.2829926389
192	0.2828151716
193	0.2827108183
194	0.2826218769
195	0.2825699712
196	0.282482174
197	0.2823797342
198	0.2822995807
199	0.2821703962
200	0.2820443662
201	0.2819208759
202	0.2816307272
203	0.2815231644
204	0.2814415725
205	0.2813919459
206	0.2813446758
207	0.2811900079
208	0.2811010971
209	0.2808592248
210	0.2807581051
211	0.2806510253
212	0.2805600538
213	0.2805116908
214	0.2804406272
215	0.280329051
216	0.2802651404
217	0.2801339963
218	0.2800210479
219	0.2799538938
220	0.2798096101
221	0.279673316
222	0.2795490646
223	0.279192878
224	0.2791002848
225	0.2790191167
226	0.2789894595
227	0.278933639
228	0.2788216149
229	0.2787374519
230	0.2786642617
231	0.2785714314
232	0.2784695298
233	0.2783397408
234	0.2782073324
235	0.2781161771
236	0.277847373
237	0.2777480278
238	0.2776557861
239	0.2775522454
240	0.277450724
241	0.2773735509
242	0.2770319241
243	0.2769667957
244	0.2767208557
245	0.2763678477
246	0.2762613132
247	0.2761486546
248	0.2760753592
249	0.2759951523
250	0.2758921675
251	0.2757834103
252	0.2756990342
253	0.2756498295
254	0.2755518697
255	0.27548962
256	0.2753821966
257	0.2752801549
258	0.2751484173
259	0.2750600183
260	0.2748748681
261	0.2747514718
262	0.2746878998
263	0.2746058588
264	0.274458561
265	0.274314178
266	0.2742243925
267	0.2741339138
268	0.2740693302
269	0.2740144357
270	0.2739695964
271	0.2736673501
272	0.2735966283
273	0.2735124888
274	0.273311282
275	0.2732290482
276	0.2731496814
277	0.2729491489
278	0.2728269178
279	0.2727272383
280	0.2724699524
281	0.2723511071
282	0.272290489
283	0.2720971591
284	0.2720277642
285	0.2718934995
286	0.2717900552
287	0.2715395228
288	0.2713999003
289	0.2712572964
290	0.2709975732
291	0.2709591627
292	0.2708559161
293	0.2706015344
294	0.270514788
295	0.2704337568
296	0.2703739971
297	0.2702885511
298	0.2701851695
299	0.2700365182
300	0.2699414261
301	0.2698459142
302	0.2697566242
303	0.2696372318
304	0.269546331
305	0.2694655126
306	0.2692650084
307	0.2691897754
308	0.2691107847
309	0.2689921916
310	0.2688898009
311	0.268818267
312	0.2687361129
313	0.2685778731
314	0.2685061159
315	0.2684105809
316	0.2681958531
317	0.2681248935
318	0.2680687372
319	0.2679749399
320	0.267865572
321	0.2676790566
322	0.2675804322
323	0.2674350195
324	0.2673495066
325	0.2672795346
326	0.2672161011
327	0.267162007
328	0.2670775073
329	0.2669810303
330	0.2668993032
331	0.2668116714
332	0.2667045967
333	0.2666372473
334	0.2665124134
335	0.2664139553
336	0.2663325191
337	0.2662552058
338	0.2661901812
339	0.2660502749
340	0.265977602
341	0.2659292943
342	0.2658743315
343	0.2657744193
344	0.2655840174
345	0.265523973
346	0.265379005
347	0.2653218537
348	0.2652205245
349	0.265086537
350	0.2650060719
351	0.2649365963
352	0.2647717506
353	0.2646646989
354	0.2646115495
355	0.2645315698
356	0.264446867
357	0.2643897426
358	0.264301557
359	0.2642069434
360	0.2641225462
361	0.2640688336
362	0.2640177644
363	0.2639791154
364	0.2639358196
365	0.2638526903
366	0.2637542067
367	0.2636986651
368	0.2636458333
369	0.263575142
370	0.2635003375
371	0.2634454274
372	0.2633913199
373	0.2633087444
374	0.2631177613
375	0.2630546437
376	0.2630006273
377	0.2629263773
378	0.2628342975
379	0.2627735262
380	0.2627197082
381	0.2626292762
382	0.2625803333
383	0.2624939783
384	0.2623910681
385	0.2623303184
386	0.262269346
387	0.2621934023
388	0.262115386
389	0.2620326032
390	0.2619588372
391	0.2618740716
392	0.261786386
393	0.2616948793
394	0.2616519539
395	0.2615955437
396	0.261406625
397	0.261321891
398	0.2612559537
